task_name,thinking_fraction
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",
advise corporations on issues involving corporate image projects or problems.,
advise customer about or perform maintenance of software system.,
"advise customers concerning equipment operation, maintenance, or programming.",
advise customers of necessary actions and strategies for debt repayment.,
advise customers on plant selection or care.,
advise customers on product usage to improve production.,
advise customers on use and care of merchandise.,
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",
advise internal management or business partners on the implementation or operation of compliance programs.,
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",
advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,
"advise management on organizing, preparing, or implementing recruiting or retention programs.",
"advise management on short-term and long-term financial objectives, policies, and actions.",
"advise management on such matters as equal employment opportunity, sexual harassment and discrimination.",
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",
advise or assist in obtaining patents or meeting other legal requirements.,
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",
advise participants in use of heat or ultraviolet treatments and hot baths.,
advise patients about recommended courses of treatment.,
advise patients about therapeutic exercise and nutritional medicine regimens.,
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.016806724
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",
advise producers about improved products and techniques that could enhance their animal production efforts.,
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",
advise students on academic and vocational curricula and on career issues.,
"advise students on academic and vocational curricula, and on career issues.",
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",
"advise students on internships, prospective employers, and job placement services.",
"advise students on issues such as course selection, progress toward graduation, and career decisions.",
advocate for accessible health care that minimizes environmental health risks.,
"advocate for patients' and families' needs, or provide emotional support for patients and their families.",
"advocate for sustainability to community groups, government agencies, the general public, or special interest groups.",
"align, adjust, or calibrate equipment according to specifications.",
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",
"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene.",
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,
"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.",
analyze and classify risks and investments to determine their potential impacts on companies.,0.05865922
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,
analyze and evaluate robotic systems or prototypes.,
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.07106599
"analyze and implement engineering designs for producing electronic devices and systems and microprocessor-based control applications, applying principles of mathematics, digital signal processing, network analysis, and computer engineering.",
analyze and interpret data to increase the understanding of human social behavior.,0.04511278
analyze and interpret news and information received from various sources to broadcast the information.,
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.044487428
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",0.04774536
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",
analyze and record personnel or operational data and write related activity reports.,
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.059912853
analyze and report computer network security breaches or attempted breaches.,0.056751467
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,0.09954751
"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.048286606
analyze changes designed to improve the environmental performance of complex systems to avoid unintended negative consequences.,
analyze characteristics of animals to identify and classify them.,
"analyze chromosomes found in biological specimens to aid diagnoses and treatments for genetic diseases such as congenital birth defects, fertility problems, and hematological disorders.",
analyze clinical data using appropriate statistical tools.,
"analyze clinical or survey data using statistical approaches such as longitudinal analysis, mixed effect modeling, logistic regression analyses, and model building techniques.",
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",
"analyze competitive market strategies through analysis of related product, market, or share trends.",
analyze completed police reports to determine what additional information and investigative work is needed.,
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,
"analyze data from surveys, old records, or case studies, using statistical software.",0.07475728
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,
analyze data to determine answers to questions from customers or members of the public.,0.022759601
analyze data to determine feasibility of product proposals.,
analyze data to determine the effectiveness of specific treatments or therapy approaches.,
analyze data to determine the effectiveness of treatments or therapy approaches.,
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",
"analyze data, using statistical methods and applications, to evaluate the outcomes and effectiveness of workplace programs.",
analyze details of sales territories to assess their growth potential and to set quotas.,
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.079789385
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",
analyze employment-related data and prepare required reports.,
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,
analyze equipment performance records to assess equipment functioning.,
analyze equipment performance records to determine the need for repair or replacement.,
analyze existing development or manufacturing procedures and suggest improvements.,
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",
analyze experimental data and interpret results to write reports and summaries of findings.,0.07912585
"analyze factors such as weather reports, fuel requirements, or maps to determine air routes.",
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.05109489
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.07911392
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",
analyze green product marketing or sales trends to forecast future conditions.,
"analyze historical climate information, such as precipitation or temperature records, to help predict future weather or climate trends.",
analyze information from traffic counting programs.,
analyze information gathered by investigation and report findings and recommendations.,
analyze information obtained from management to conceptualize and define operational problems.,
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",0.09384164
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",0.03914259
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.04232351
"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",
analyze laboratory findings to check the accuracy of the results.,
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",0.071428575
"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis.",
analyze market conditions to determine optimum times to execute securities transactions.,0.10471204
"analyze menus or recipes, standardize recipes, or test new products.",
analyze monthly department budgeting and accounting reports to maintain expenditure controls.,
"analyze network data to determine network usage, disk space availability, or server function.",
analyze new medical procedures to forecast likely outcomes.,
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.054968286
analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",0.08173077
analyze or synthesize client data to draw conclusions or make recommendations for art therapy.,
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.027354436
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.035259135
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",
"analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,0.012547528
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,
analyze potential loan markets and develop referral networks to locate prospects for loans.,
analyze potential loan markets to find opportunities to promote loans and financial services.,
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",
analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,
analyze problems to develop solutions involving computer hardware and software.,0.12970711
analyze product complaints and make recommendations regarding their reportability.,
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",
"analyze research data to determine its significance, using computers.",0.08213256
analyze samples of biological material for chemical content or reaction.,
"analyze samples, such as air or water samples, for contaminants or other elements.",
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,
analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.,
analyze system performance or operational requirements.,0.08662614
analyze target companies or investment opportunities to inform investment decisions.,0.07672634
analyze technology trends to identify markets for future product development or to improve sales of existing products.,
"analyze test data for automotive systems, subsystems, or component parts.",
"analyze test data, making computations as necessary, to determine test results.",0.04517454
analyze test results and develop a treatment plan.,
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",
analyze the effectiveness of marketing tactics or channels.,
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",
"analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers.",
"analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.",
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",0.07063197
"analyze the probable outcomes of cases, using knowledge of legal precedents.",
"analyze training needs to design employee development, language training and health and safety programs.",
analyze training needs to develop new training programs or modify and improve existing programs.,
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",
analyze user needs and recommend appropriate hardware.,
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.10344828
analyze user needs to determine technical requirements.,
analyze x-rays to locate the sources of patients' difficulties and to rule out fractures or diseases as sources of problems.,
"analyze, estimate, or report production costs.",
"analyze, fabricate, or test fiber-optic links.",
"analyze, interpret, or create graphical representations of energy data, using engineering software.",0.073619634
"analyze, interpret, or disseminate system performance data.",0.055727553
"announce musical selections, station breaks, commercials, or public service information, and accept requests from listening audience.",
answer applicants' questions about benefits and claim procedures.,
answer clients' questions about the purposes and details of financial plans and strategies.,0.028368793
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",
"answer customer questions related to energy sales procedures, energy markets, or alternative energy sources.",
answer customers' questions about merchandise and advise customers on merchandise selection.,
"answer customers' questions about products, prices, availability, or credit terms.",
"answer customers' questions about products, prices, availability, product uses, and credit terms.",
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",
"answer customers' questions, and provide information on procedures or policies.",0.012024048
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",0.027859237
"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.",
answer inquiries from the public concerning animal control operations.,
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",
"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",
"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",
answer questions about product features and benefits.,
answer questions about records or files.,0.024861878
answer questions and provide future tax planning to clients.,
"answer questions from passengers concerning train rules, stations, and timetable information.",
answer questions from taxpayers and assist them in completing tax forms.,
answer questions from the public and media.,
"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",
"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",
"answer questions regarding mail regulations and procedures, postage rates, and post office boxes.",
answer questions regarding the store and its merchandise.,
"answer telephone calls to take messages, answer questions, and provide information during non-business hours or when switchboard is closed.",
answer telephones and direct calls to appropriate staff.,
"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",
"answer telephones, and route calls or deliver messages.",
"answer telephones, direct calls, and take messages.",0.07509881
"answer telephones, responding to questions or requests.",
answer user inquiries regarding computer software or hardware operation to resolve problems.,
"apply analytic methods or tools to understand, predict, or control logistics operations or processes.",
"apply caulk, sealants, or other agents to installed surfaces.",
"apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",
apply finger and hand pressure to specific points of the body.,
"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",0.06538462
"apply meteorological knowledge to issues such as global warming, pollution control, or ozone depletion.",
"apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups.",
"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells.",
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",
apply research or simulation results to extend biological theory or recommend new research projects.,
apply selected research findings to practice.,
"apply standardized mathematical formulas, principles, and methodology to the solution of technological problems involving engineering or physical science.",
"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",
"apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",
"appraise property values, assessing income potential when relevant.",
"approve, prepare, monitor, and adjust operational budgets.",
"arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts.",
"arrange conference, meeting, or travel reservations for office personnel.",
"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies.",
arrange for advertising or posting of job vacancies and notify eligible workers of position availability.,
arrange for financing of property purchases.,
"arrange for special transport of sensitive cargoes, such as livestock, food, or medical supplies.",
"arrange tours, taxis, or restaurant reservations for customers.",
"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",0.040106952
ask questions that will help clients identify their feelings and behaviors.,
"assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",
"assemble, maintain, or distribute information for library or record systems.",
"assemble, operate, or maintain field or laboratory testing, measuring, or mechanical equipment.",
"assemble, test, or maintain circuitry or electronic components, according to engineering instructions, technical manuals, or knowledge of electronics, using hand or power tools.",
"assemble, typeset, scan and produce digital camera-ready art or film negatives and printer's proofs.",
assess cardiac physiology and calculate valve areas from blood flow velocity measurements.,
"assess clients' overall financial situation by reviewing income, assets, debts, expenses, credit reports, or other financial information.",
"assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",
"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods.",
"assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction.",
"assess electrical components for consumer electronics applications, such as fuel cells for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers.",
"assess nutritional needs of patients, plan special menus, supervise the assembly of regular and special diet trays, and oversee the delivery of food trolleys to hospital patients.",
"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling.",
assess patients for risk of suicide attempts.,
"assess project feasibility by analyzing technology, resource needs, and market demand.",
assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,
assess students' dancing abilities to determine where improvement or change is needed.,
"assess the costs and benefits of various activities, policies, or regulations that affect the environment or natural resource stocks.",
"assess the identity, strength, or purity of medications.",
assess the nature and level of threats so that the scope of the problem can be determined.,
assess the usefulness of pre-developed application packages and adapt them to a user environment.,0.039149888
assist clients in obtaining insurance reimbursements.,
assist customers by providing information and resolving their complaints.,
"assist engineers in the design, configuration, or application of robotic systems.",
"assist engineers to design or develop electrochemical devices, such as solid oxide membranes or other products for sustainable applications.",
"assist in delivery, care, or feeding of infants.",
assist in laying out material for publication.,
assist in locating housing for displaced individuals.,
"assist in planning food budgets, using charts or sample budgets.",
assist in selection of financial award candidates using electronic databases to certify loan eligibility.,
assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,
"assist in the assessment, acquisition, or deployment of new electronic document management systems.",
assist individuals in filling out applications or questionnaires.,
"assist nanoscientists, engineers, or technologists in writing process specifications or documentation.",
assist patients in organizing their health care system activities.,
assist scientists or engineers in the conduct of photonic experiments.,
assist students who need extra help with their coursework outside of class.,0.016713552
"attend book launches and publicity events, or conduct public readings.",
attend investment briefings or consult financial media to stay abreast of relevant investment markets.,
attend or make presentations at community events to promote funeral home services or build community relationships.,
attend or view productions to maintain knowledge of available actors.,
"attend to the needs of the bereaved, such as by offering comfort, counseling, or after care programs.",
authenticate and appraise historical documents and archival materials.,
"author or publish professional articles, internal documents, and instructional materials.",
authorize payment of invoices or return of merchandise.,
back up files from web sites to local directories for instant recovery in case of problems.,
back up network data.,
"bake, roast, broil, and steam meats, fish, vegetables, and other foods.",
"become familiar with digging plans, machine capabilities and limitations, and with efficient and safe digging procedures in a given application.",
"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them.",0.11582213
broadcast weather reports and warnings.,
"build and maintain databases of information about energy alternatives, pollutants, natural environments, industrial processes, and other information related to ecological change.",
build and update digital databases.,
build or assemble robotic devices or systems.,
"build, calibrate, maintain, troubleshoot, or repair electrical instruments or testing equipment.",
"buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.",
calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.,
"calculate amounts of required materials and estimate costs, based on surface measurements or work orders.",
"calculate and prepare checks for utilities, taxes, and other payments.",
"calculate and quote rates for tours, stocks, insurance policies, or other products or services.",
"calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists.",
"calculate costs of orders, and charge or forward invoices to appropriate accounts.",
calculate costs or savings for water- or energy-efficient appliances or systems.,
"calculate dimensions or tolerances, using instruments such as micrometers or vernier calipers.",
"calculate dimensions, square footage, profile and component specifications, and material quantities using calculator or computer.",
"calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.",
calculate load estimates or equipment requirements to determine required control settings.,
calculate material requirements or yields according to formulas.,
"calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies.",
calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.,
"calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation.",
"calculate premiums, refunds, commissions, adjustments, and new reserve requirements, using insurance rate standards.",
calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.,
"calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",
"calculate test result values, using standard formulas.",
"calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.",
"calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.",
calibrate data collection equipment.,
"calibrate liquid flow devices or meters, including fuel, chemical, and water meters.",
"calibrate or adjust equipment to ensure quality production, using tools such as calipers, micrometers, height gauges, protractors, or ring gauges.",
calibrate testing instruments and installed or repaired equipment to prescribed specifications.,
calibrate testing instruments.,
"calibrate, troubleshoot, or repair equipment and correct malfunctions as needed.",
"calibrate, validate, or maintain laboratory equipment.",
"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs.",
change dressings on wounds.,
"change processes such as drying, grading, storing, or shipping to improve efficiency or profitability.",
"check all layers of maps to ensure accuracy, identifying and marking errors and making corrections.",
check and analyze operating system or application logfiles regularly to verify proper system performance.,
"check completed work for spelling, grammar, punctuation, and format.",
"check computations of interest accrued, premiums due, and settlement surrender on loan values.",
"check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures.",
"check electrical installation for proper wiring, polarity, grounding, or integrity of terminations.",
check identification of customers to verify age requirements for purchase of alcohol.,
check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.,
"check original texts or confer with authors to ensure that translations retain the content, meaning, and feeling of the original material.",
"check reference materials, such as books, news files, or public records, to obtain relevant facts.",
check the quality of raw or cooked food products to ensure that standards are met.,
check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.,
"choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events.",0.07281554
classify and catalog items according to content and purpose.,
"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",
clean and disinfect domestic basements and other areas flooded by sewer stoppages.,
"clean, cut, and cook meat, fish, or poultry.",
coach client representatives in effective communication with the public or with employees.,
coach senior executives and managers on leadership and performance.,
"code, classify, and catalog books, publications, films, audio-visual aids, and other library materials based on subject matter or standard library classification systems.",
"code, evaluate, or interpret collected study data.",0.05904059
collaborate in research studies.,
"collaborate with a manager or agent who handles administrative details, finds work, and negotiates contracts.",
collaborate with artists to achieve appropriate visual style.,
collaborate with biologists and other professionals to conduct appropriate genetic and biochemical analyses.,
collaborate with colleagues and community agencies to address teaching and research issues.,
collaborate with colleagues to address teaching and research issues.,
"collaborate with colleagues to exchange information, such as selling strategies or marketing information.",
collaborate with computer manufacturers and other users to develop new programming methods.,
"collaborate with electrical engineers or other personnel to identify, define, or solve developmental problems.",
collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,0.12468828
collaborate with field staff or customers to evaluate or diagnose problems and recommend possible solutions.,
"collaborate with general dentists, specialists, and other health professionals to develop solutions to dental and oral health concerns.",
"collaborate with graphic artists, editors and writers to produce master copies according to design specifications.",
"collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",
collaborate with management or users to develop e-commerce strategies and to integrate these strategies with web sites.,
collaborate with other astronomers to carry out research projects.,
"collaborate with other authorities on activities such as surveillance, transcription, and research.",
collaborate with other health care professionals to develop and revise treatment plans based on identified needs and assessment data.,
"collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives.",
collaborate with other ministry members to establish goals and objectives for religious education programs or to develop ways to encourage program participation.,
"collaborate with other personnel to plan and develop recipes or menus, taking into account such factors as seasonal availability of ingredients or the likely number of customers.",
collaborate with other professionals to evaluate patients' medical or physical condition and to assess client needs.,
"collaborate with other professionals, such as restorative dentists and orthodontists, to plan treatment.",
"collaborate with other researchers in the planning, implementation, and evaluation of surveys.",
"collaborate with other scientists in the design, development, and testing of experimental, industrial, or medical equipment, instrumentation, and procedures.",0.11518325
"collaborate with other staff to assist in the development and implementation of goals, objectives, policies, or priorities.",
"collaborate with other teachers and administrators in the development, evaluation, and revision of kindergarten programs.",
"collaborate with other teachers and administrators in the development, evaluation, and revision of preschool programs.",
collaborate with other teachers and professionals in the development of instructional programs.,
"collaborate with other teachers or administrators to develop, evaluate, or revise preschool programs.",
collaborate with other writers on specific projects.,
